Albums,2025-04-03 00:13:50,2025-04-03 00:20:18,2025-04-03 00:22:11,2025-04-03 00:30:02,2025-04-03 00:36:02,2025-04-03 21:15:34,2025-04-04 13:06:25,2025-04-21 12:48:54,2025-04-21 12:54:03,2025-04-21 13:05:02,2025-04-21 13:05:58,2025-04-21 13:06:41,2025-04-21 13:15:37,2025-04-21 13:15:57,2025-04-21 13:22:28,2025-04-21 13:24:14
23bcs064,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78
23bcs069,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
23bcs031,99,99,99,99,104,105,105,105,105,105,105,105,105,105,105,105
23bcs036,227,229,230,231,238,239,239,243,243,243,243,243,243,243,243,243
23bcs027,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47
23bcs059,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59
cse A attendance,486,486,486,486,486,491,491,495,495,495,495,495,495,495,495,495
23bcs039,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
23bcs023,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
23bcs006,33,33,33,33,33,35,35,35,35,35,35,35,35,35,35,35
23bcs018,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42
23bcs020,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45
23bcs057,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46
23bcs016,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30
23bcs010,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23
23bcs050,39,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41
23bcs067,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
23bcs028,34,34,34,34,34,35,35,36,36,36,36,36,36,36,36,36
23bcs005,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26
23bcs037,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29
23bcs032,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19
23bcs062,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27
23bcs013,31,31,31,31,31,32,32,33,33,33,33,33,33,33,33,33
23bcs044,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17
23bcs054,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27
23bcs033,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23bcs025,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42
23bcs015,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21
23bcs008,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42
23bcs011,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27
23bcs048,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
23bcs049,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33
Untitled,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
23bcs001,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37
23bcs047,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
23bcs030,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29
23bcs004,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15
23bcs035,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
23bcs042,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
23bcs051,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20
23bcs070,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
23bcs007,22,22,22,22,22,23,23,24,24,24,24,24,24,24,24,24
23bcs055,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24
23bcs017,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25
23bcs065,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
23bcs060,32,32,32,32,32,34,34,34,34,34,34,34,34,34,34,34
23bcs040,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11
23bcs046,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,33
23bcs063,20,20,20,20,20,21,21,22,22,22,22,22,22,22,22,22
23bcs024,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23
23bcs029,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27
23bcs021,35,35,35,35,35,37,37,37,37,37,37,37,37,37,37,37
23bcs038,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17
23bcs041,31,31,31,31,31,32,32,33,33,33,33,33,33,33,33,33
23bcs058,53,53,53,53,53,55,55,56,56,56,56,56,56,56,56,56
23bcs052,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44
23bcs034,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52
23bcs019,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28
